id	race	gender	sex.worker	pimp	sex.work.client	drug.dealer	drug.cook	thief	retired	housewife	disabled	unemployed	homeless
2516	NA	1	0	0	0	0	0	0	0	0	0	0	0
2517	4	0	0	0	0	0	0	0	0	0	0	0	0
2518	4	1	0	0	0	0	0	0	0	1	0	1	0
2519	4	0	0	0	0	0	0	0	0	0	0	0	0
2520	4	0	0	0	0	0	0	0	0	0	0	0	0
2521	4	1	0	0	0	0	0	0	0	0	0	0	0
2522	2	1	0	0	0	0	0	0	0	0	0	0	0
2523	2	1	0	0	0	0	0	0	0	0	0	0	0
2524	4	1	0	0	0	0	0	0	0	0	0	0	0
2525	4	1	0	0	0	0	0	0	0	0	0	0	0
2526	4	0	0	0	0	0	0	0	0	0	0	0	0
2527	4	0	0	0	0	0	0	0	0	0	0	0	0
2528	4	0	1	0	0	0	0	0	0	0	0	0	0
2529	4	0	0	0	0	0	0	0	0	0	0	0	0
2530	4	0	0	0	0	0	0	0	0	0	0	0	0
2531	4	1	0	0	0	0	0	0	1	0	0	0	0
2532	4	1	0	0	0	0	0	0	1	0	0	0	0
2533	4	0	0	0	0	0	0	0	0	0	0	0	0
2534	4	0	0	0	0	0	0	0	0	0	0	0	0
2535	4	0	0	0	0	0	0	0	0	0	0	1	0
2536	4	1	0	0	0	0	0	0	0	0	0	0	0
2537	2	0	0	0	0	0	0	0	0	0	0	0	0
2538	4	1	0	0	0	0	0	0	0	0	0	0	0
2539	4	1	0	0	0	0	0	0	0	0	0	0	0
2540	4	1	0	0	0	0	0	0	0	0	0	0	0
2541	4	1	0	0	0	0	0	0	0	0	0	0	0
2542	4	1	0	0	0	0	0	0	0	0	0	0	0
2543	4	0	0	0	0	0	0	0	0	0	0	0	0
2544	4	1	0	0	0	0	0	0	0	0	0	1	0
2545	2	0	0	0	0	0	0	0	0	0	0	0	0
2546	2	1	0	0	0	0	0	0	0	0	0	1	1
2547	2	0	0	0	NA	1	0	0	0	0	0	0	0
2548	2	1	0	0	NA	0	0	0	0	0	0	1	0
2549	4	1	0	0	0	0	0	0	0	0	0	0	0
2550	4	1	0	0	0	0	0	0	0	0	0	0	0
2551	4	1	0	0	0	0	0	0	0	0	0	0	0
2552	4	1	0	0	0	0	0	0	0	0	0	0	0
2553	4	1	0	0	0	0	0	0	0	0	0	0	0
2554	4	1	0	0	0	0	0	0	0	0	0	0	0
2555	4	1	0	0	0	0	0	0	0	0	0	0	0
2556	4	0	0	0	0	0	0	0	0	0	0	0	0
